Student Id,Country Code,Enrolled Month,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1,AU,5,2019,89,U,true,JMC,NOVEMBER,2023,Lecture 12
1,AU,5,2019,89,U,true,PYC,FEBRUARY,2022,Lecture 6
2,CN,4,2018,89,M,true,JMC,JULY,2018,Lecture 1
2,CN,4,2018,89,M,true,PYC,MARCH,2021,Lecture 10
3,US,7,2018,30,M,false,JMC,OCTOBER,2021,Lecture 13
3,US,7,2018,30,M,false,PYC,JANUARY,2022,Lecture 12
4,CN,10,2020,83,M,false,JMC,NOVEMBER,2021,Lecture 12
4,CN,10,2020,83,M,false,PYC,NOVEMBER,2023,Lecture 6
5,CN,6,2015,87,F,false,JMC,JULY,2017,Lecture 9
5,CN,6,2015,87,F,false,PYC,FEBRUARY,2015,Lecture 9
6,IN,11,2020,84,F,false,JMC,NOVEMBER,2021,Lecture 1
6,IN,11,2020,84,F,false,PYC,DECEMBER,2020,Lecture 13
7,US,4,2017,59,U,false,JMC,AUGUST,2021,Lecture 11
7,US,4,2017,59,U,false,PYC,FEBRUARY,2023,Lecture 10
8,US,7,2021,60,F,false,JMC,FEBRUARY,2023,Lecture 11
8,US,7,2021,60,F,false,PYC,DECEMBER,2021,Lecture 2
9,CN,11,2020,49,F,false,JMC,OCTOBER,2020,Lecture 11
9,CN,11,2020,49,F,false,PYC,JANUARY,2020,Lecture 4
10,IN,10,2020,89,M,true,JMC,MARCH,2023,Lecture 8
10,IN,10,2020,89,M,true,PYC,AUGUST,2022,Lecture 2
11,AU,5,2015,60,M,false,JMC,AUGUST,2020,Lecture 11
11,AU,5,2015,60,M,false,PYC,JUNE,2020,Lecture 13
12,US,3,2018,38,F,false,JMC,JANUARY,2020,Lecture 6
12,US,3,2018,38,F,false,PYC,JANUARY,2018,Lecture 3
13,IN,2,2023,76,F,true,JMC,DECEMBER,2023,Lecture 10
13,IN,2,2023,76,F,true,PYC,OCTOBER,2023,Lecture 7
14,AU,4,2022,76,F,true,JMC,DECEMBER,2023,Lecture 8
14,AU,4,2022,76,F,true,PYC,JUNE,2022,Lecture 9
15,US,12,2019,67,F,true,JMC,MARCH,2023,Lecture 1
15,US,12,2019,67,F,true,PYC,MARCH,2021,Lecture 8
16,AU,8,2020,69,F,true,JMC,OCTOBER,2021,Lecture 8
16,AU,8,2020,69,F,true,PYC,MAY,2020,Lecture 3
17,GB,10,2021,35,U,true,JMC,NOVEMBER,2023,Lecture 6
17,GB,10,2021,35,U,true,PYC,DECEMBER,2023,Lecture 14
18,GB,6,2018,48,F,true,JMC,JULY,2020,Lecture 7
18,GB,6,2018,48,F,true,PYC,MAY,2019,Lecture 9
19,IN,9,2023,61,M,true,JMC,JULY,2023,Lecture 1
19,IN,9,2023,61,M,true,PYC,JANUARY,2023,Lecture 12
20,US,8,2018,18,U,true,JMC,AUGUST,2018,Lecture 8
20,US,8,2018,18,U,true,PYC,DECEMBER,2021,Lecture 13
21,CN,2,2023,81,U,false,JMC,APRIL,2023,Lecture 6
21,CN,2,2023,81,U,false,PYC,AUGUST,2023,Lecture 1
22,GB,12,2016,27,M,false,JMC,FEBRUARY,2019,Lecture 13
22,GB,12,2016,27,M,false,PYC,MARCH,2023,Lecture 2
23,US,5,2019,57,M,false,JMC,JANUARY,2019,Lecture 6
23,US,5,2019,57,M,false,PYC,SEPTEMBER,2021,Lecture 11
24,US,1,2017,20,M,true,JMC,OCTOBER,2023,Lecture 3
24,US,1,2017,20,M,true,PYC,FEBRUARY,2017,Lecture 11
25,AU,8,2020,22,F,false,JMC,JUNE,2021,Lecture 9
25,AU,8,2020,22,F,false,PYC,JULY,2021,Lecture 6
26,AU,10,2023,57,M,true,JMC,JUNE,2023,Lecture 9
26,AU,10,2023,57,M,true,PYC,DECEMBER,2023,Lecture 4
27,US,5,2023,56,M,false,JMC,JULY,2023,Lecture 5
27,US,5,2023,56,M,false,PYC,SEPTEMBER,2023,Lecture 4
28,IN,1,2015,40,M,true,JMC,JUNE,2020,Lecture 14
28,IN,1,2015,40,M,true,PYC,JANUARY,2015,Lecture 14
29,IN,7,2021,72,M,true,JMC,FEBRUARY,2022,Lecture 2
29,IN,7,2021,72,M,true,PYC,NOVEMBER,2023,Lecture 3
30,IN,3,2022,87,F,true,JMC,DECEMBER,2023,Lecture 4
30,IN,3,2022,87,F,true,PYC,OCTOBER,2022,Lecture 5
31,AU,11,2019,38,M,true,JMC,OCTOBER,2020,Lecture 1
31,AU,11,2019,38,M,true,PYC,FEBRUARY,2021,Lecture 12
32,CN,7,2021,75,M,false,JMC,SEPTEMBER,2022,Lecture 6
32,CN,7,2021,75,M,false,PYC,APRIL,2023,Lecture 10
33,GB,8,2022,58,M,true,JMC,DECEMBER,2022,Lecture 9
33,GB,8,2022,58,M,true,PYC,JUNE,2023,Lecture 14
34,US,2,2018,21,M,false,JMC,FEBRUARY,2022,Lecture 1
34,US,2,2018,21,M,false,PYC,JULY,2019,Lecture 11
35,AU,9,2019,36,M,true,JMC,FEBRUARY,2020,Lecture 12
35,AU,9,2019,36,M,true,PYC,MAY,2022,Lecture 10
36,AU,3,2017,20,U,false,JMC,JULY,2017,Lecture 10
36,AU,3,2017,20,U,false,PYC,JULY,2023,Lecture 9
37,GB,1,2017,26,M,false,JMC,JUNE,2023,Lecture 4
37,GB,1,2017,26,M,false,PYC,MARCH,2023,Lecture 1
38,GB,3,2023,31,F,true,JMC,SEPTEMBER,2023,Lecture 11
38,GB,3,2023,31,F,true,PYC,NOVEMBER,2023,Lecture 9
39,GB,12,2019,31,F,false,JMC,NOVEMBER,2019,Lecture 14
39,GB,12,2019,31,F,false,PYC,MARCH,2019,Lecture 5
40,IN,5,2017,84,M,false,JMC,NOVEMBER,2020,Lecture 13
40,IN,5,2017,84,M,false,PYC,JANUARY,2019,Lecture 14
41,GB,6,2015,44,U,false,JMC,JULY,2017,Lecture 9
41,GB,6,2015,44,U,false,PYC,DECEMBER,2021,Lecture 1
42,CN,3,2017,44,M,true,JMC,NOVEMBER,2018,Lecture 1
42,CN,3,2017,44,M,true,PYC,MAY,2021,Lecture 4
43,GB,6,2023,37,U,false,JMC,NOVEMBER,2023,Lecture 13
43,GB,6,2023,37,U,false,PYC,AUGUST,2023,Lecture 2
44,GB,6,2018,21,M,false,JMC,MAY,2023,Lecture 4
44,GB,6,2018,21,M,false,PYC,AUGUST,2018,Lecture 9
45,IN,12,2019,80,U,false,JMC,OCTOBER,2023,Lecture 9
45,IN,12,2019,80,U,false,PYC,NOVEMBER,2021,Lecture 12
46,CN,9,2019,61,M,false,JMC,SEPTEMBER,2020,Lecture 5
46,CN,9,2019,61,M,false,PYC,APRIL,2022,Lecture 14
47,GB,7,2020,75,F,false,JMC,OCTOBER,2020,Lecture 13
47,GB,7,2020,75,F,false,PYC,SEPTEMBER,2022,Lecture 1
48,IN,11,2017,62,U,false,JMC,MARCH,2020,Lecture 10
48,IN,11,2017,62,U,false,PYC,SEPTEMBER,2021,Lecture 2
49,AU,11,2021,25,F,false,JMC,APRIL,2022,Lecture 4
49,AU,11,2021,25,F,false,PYC,JUNE,2022,Lecture 1
50,IN,4,2015,80,U,true,JMC,JUNE,2023,Lecture 5
50,IN,4,2015,80,U,true,PYC,JUNE,2020,Lecture 2
51,GB,2,2022,65,F,false,JMC,JUNE,2023,Lecture 8
51,GB,2,2022,65,F,false,PYC,FEBRUARY,2022,Lecture 4
52,US,1,2018,22,F,true,JMC,JANUARY,2023,Lecture 5
52,US,1,2018,22,F,true,PYC,SEPTEMBER,2019,Lecture 11
53,CN,7,2020,43,F,false,JMC,OCTOBER,2021,Lecture 7
53,CN,7,2020,43,F,false,PYC,APRIL,2020,Lecture 2
54,GB,11,2023,54,U,true,JMC,SEPTEMBER,2023,Lecture 10
54,GB,11,2023,54,U,true,PYC,SEPTEMBER,2023,Lecture 3
55,US,11,2020,33,M,false,JMC,MARCH,2020,Lecture 12
55,US,11,2020,33,M,false,PYC,MARCH,2020,Lecture 12
56,CN,9,2018,50,M,true,JMC,OCTOBER,2019,Lecture 10
56,CN,9,2018,50,M,true,PYC,JUNE,2023,Lecture 3
57,AU,10,2018,37,U,true,JMC,FEBRUARY,2019,Lecture 7
57,AU,10,2018,37,U,true,PYC,MAY,2022,Lecture 3
58,AU,12,2016,37,U,false,JMC,DECEMBER,2023,Lecture 7
58,AU,12,2016,37,U,false,PYC,JANUARY,2023,Lecture 9
59,CN,4,2019,86,M,true,JMC,JULY,2021,Lecture 10
59,CN,4,2019,86,M,true,PYC,SEPTEMBER,2022,Lecture 4
60,US,5,2021,24,U,true,JMC,MAY,2022,Lecture 2
60,US,5,2021,24,U,true,PYC,MAY,2023,Lecture 12
61,US,3,2017,65,U,false,JMC,OCTOBER,2018,Lecture 12
61,US,3,2017,65,U,false,PYC,AUGUST,2023,Lecture 9
62,IN,12,2020,38,M,true,JMC,OCTOBER,2020,Lecture 3
62,IN,12,2020,38,M,true,PYC,DECEMBER,2023,Lecture 6
63,CN,12,2015,45,F,false,JMC,APRIL,2015,Lecture 3
63,CN,12,2015,45,F,false,PYC,SEPTEMBER,2015,Lecture 13
64,GB,5,2019,87,M,true,JMC,SEPTEMBER,2021,Lecture 13
64,GB,5,2019,87,M,true,PYC,JUNE,2019,Lecture 2
65,IN,6,2021,64,U,false,JMC,DECEMBER,2022,Lecture 11
65,IN,6,2021,64,U,false,PYC,AUGUST,2023,Lecture 2
66,IN,5,2015,28,F,false,JMC,DECEMBER,2016,Lecture 9
66,IN,5,2015,28,F,false,PYC,FEBRUARY,2019,Lecture 3
67,IN,1,2022,65,U,true,JMC,MARCH,2022,Lecture 6
67,IN,1,2022,65,U,true,PYC,JULY,2022,Lecture 5
68,IN,11,2016,70,M,true,JMC,JANUARY,2021,Lecture 14
68,IN,11,2016,70,M,true,PYC,AUGUST,2017,Lecture 10
69,AU,5,2018,57,M,false,JMC,APRIL,2021,Lecture 14
69,AU,5,2018,57,M,false,PYC,DECEMBER,2022,Lecture 6
70,US,11,2022,58,U,true,JMC,APRIL,2023,Lecture 10
70,US,11,2022,58,U,true,PYC,NOVEMBER,2022,Lecture 3
71,US,8,2020,89,M,true,JMC,OCTOBER,2022,Lecture 7
71,US,8,2020,89,M,true,PYC,SEPTEMBER,2020,Lecture 14
72,CN,4,2022,56,M,false,JMC,JULY,2022,Lecture 4
72,CN,4,2022,56,M,false,PYC,JANUARY,2023,Lecture 14
73,GB,3,2023,32,F,false,JMC,MARCH,2023,Lecture 13
73,GB,3,2023,32,F,false,PYC,FEBRUARY,2023,Lecture 5
74,US,7,2022,48,F,true,JMC,JANUARY,2023,Lecture 8
74,US,7,2022,48,F,true,PYC,SEPTEMBER,2022,Lecture 11
75,AU,4,2015,20,F,true,JMC,OCTOBER,2022,Lecture 6
75,AU,4,2015,20,F,true,PYC,MAY,2022,Lecture 14
76,IN,6,2020,24,U,false,JMC,JULY,2021,Lecture 5
76,IN,6,2020,24,U,false,PYC,OCTOBER,2022,Lecture 14
77,CN,6,2018,85,U,false,JMC,OCTOBER,2018,Lecture 3
77,CN,6,2018,85,U,false,PYC,MARCH,2021,Lecture 2
78,GB,8,2018,41,F,true,JMC,MAY,2022,Lecture 14
78,GB,8,2018,41,F,true,PYC,JULY,2022,Lecture 3
79,CN,6,2021,70,M,false,JMC,MARCH,2021,Lecture 12
79,CN,6,2021,70,M,false,PYC,AUGUST,2023,Lecture 13
80,US,11,2015,85,U,true,JMC,JULY,2020,Lecture 3
80,US,11,2015,85,U,true,PYC,DECEMBER,2020,Lecture 12
81,IN,7,2023,65,F,true,JMC,APRIL,2023,Lecture 2
81,IN,7,2023,65,F,true,PYC,JULY,2023,Lecture 11
82,GB,6,2017,52,U,false,JMC,DECEMBER,2018,Lecture 13
82,GB,6,2017,52,U,false,PYC,NOVEMBER,2017,Lecture 8
83,IN,9,2018,61,M,true,JMC,NOVEMBER,2020,Lecture 8
83,IN,9,2018,61,M,true,PYC,SEPTEMBER,2020,Lecture 12
84,AU,8,2019,54,F,false,JMC,MARCH,2019,Lecture 4
84,AU,8,2019,54,F,false,PYC,MAY,2019,Lecture 13
85,IN,9,2016,73,U,true,JMC,JUNE,2016,Lecture 6
85,IN,9,2016,73,U,true,PYC,AUGUST,2022,Lecture 8
86,IN,1,2022,22,M,true,JMC,SEPTEMBER,2022,Lecture 5
86,IN,1,2022,22,M,true,PYC,JANUARY,2022,Lecture 7
87,GB,4,2021,58,M,false,JMC,MARCH,2022,Lecture 11
87,GB,4,2021,58,M,false,PYC,APRIL,2022,Lecture 14
88,CN,9,2015,86,U,false,JMC,MAY,2020,Lecture 9
88,CN,9,2015,86,U,false,PYC,AUGUST,2019,Lecture 14
89,GB,12,2015,45,U,true,JMC,JANUARY,2018,Lecture 8
89,GB,12,2015,45,U,true,PYC,AUGUST,2015,Lecture 6
90,IN,4,2021,42,F,false,JMC,JANUARY,2021,Lecture 14
90,IN,4,2021,42,F,false,PYC,APRIL,2021,Lecture 3
