Student Id,Country Code,Enrolled Month,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1,US,1,2021,23,M,false,JMC,JULY,2022,Lecture 11
1,US,1,2021,23,M,false,PYC,DECEMBER,2021,Lecture 4
2,CN,5,2018,81,M,false,JMC,APRIL,2018,Lecture 7
2,CN,5,2018,81,M,false,PYC,APRIL,2019,Lecture 1
3,CN,4,2015,60,F,true,JMC,NOVEMBER,2017,Lecture 4
3,CN,4,2015,60,F,true,PYC,NOVEMBER,2018,Lecture 10
4,US,6,2019,64,U,false,JMC,NOVEMBER,2020,Lecture 3
4,US,6,2019,64,U,false,PYC,DECEMBER,2019,Lecture 1
5,CN,2,2015,62,U,true,JMC,OCTOBER,2022,Lecture 5
5,CN,2,2015,62,U,true,PYC,APRIL,2023,Lecture 8
